Title,Published_date,Views,Likes,Dislikes,Comments
Justin Bieber - Anyone,2021-01-01T05:00:08Z,106871791,2118007,0,121068
Justin Bieber - Anyone (Trailer),2020-12-31T20:02:35Z,1149149,92642,0,5442
T-Mobile Presents New Year’s Eve Live with Justin Bieber,2020-12-14T17:52:44Z,913654,56722,0,4535
"Shawn Mendes, Justin Bieber - The Making of 'Monster' | Vevo Footnotes",2020-11-25T17:00:47Z,3197260,107235,0,3703
Shawn Mendes & Justin Bieber - Monster (From The Archives),2020-11-24T18:00:09Z,2234715,133540,0,4046
Justin Bieber - Lonely (with benny blanco) & Holy (Live From The AMA’s / 2020),2020-11-24T05:32:29Z,13339458,345416,0,11069
"Shawn Mendes, Justin Bieber - Monster (Lyric Video)",2020-11-20T05:41:04Z,12354801,421822,0,16998
Monster (Shawn Mendes & Justin Bieber) - Official Teaser,2020-11-16T19:47:29Z,1676022,165791,0,10266
Justin Bieber - Holy (Acoustic) ft. Chance The Rapper,2020-11-06T05:00:10Z,12939957,456220,0,14843
Justin Bieber & benny blanco - Lonely (Visualizer),2020-11-02T17:00:11Z,3979562,303380,0,12083
Justin Bieber: Next Chapter | A Special Documentary Event (Official),2020-10-30T16:00:03Z,13502338,451590,0,24064
Justin Bieber & benny blanco - Lonely (Official Acoustic Video),2020-10-27T18:00:09Z,30208011,1035688,0,30631
Justin Bieber: Next Chapter | A Special Documentary Event – Official Trailer,2020-10-23T19:00:02Z,2828642,129441,0,6505
Justin Bieber & benny blanco - Lonely (Montage),2020-10-22T20:52:04Z,715867,57371,0,2948
"Justin Bieber, benny blanco - The Making of 'Lonely' | Vevo Footnotes",2020-10-21T16:27:26Z,1288718,71016,0,3769
Justin Bieber - Holy (Live On Saturday Night Live / 2020) ft. Chance The Rapper,2020-10-18T10:04:45Z,5233065,235175,0,10523
"Justin Bieber, benny blanco - Lonely (Live From Saturday Night Live/2020)",2020-10-18T09:46:41Z,11205244,458275,0,19905
Justin Bieber & benny blanco - Lonely (livestream),2020-10-16T04:00:41Z,861486,76430,0,2129
Justin Bieber & benny blanco - Lonely (Official Music Video),2020-10-16T04:00:08Z,164742734,4256796,0,160091
Justin Bieber - Holy (VEVO Footnotes) ft. Chance The Rapper,2020-09-24T16:00:11Z,2069180,83349,0,3870
Justin Bieber - Holy ft. Chance The Rapper (Genies version),2020-09-24T14:00:02Z,1882093,95861,0,4258
Justin Bieber - Holy ft. Chance The Rapper (Choir Version),2020-09-23T16:00:22Z,962796,85363,0,3612
Justin Bieber - Holy ft. Chance The Rapper (Behind The Scenes),2020-09-22T16:00:10Z,1107927,77198,0,4171
Justin Bieber - Holy (Performance Version) ft. Chance The Rapper,2020-09-21T16:00:01Z,23230565,337259,0,11246
Justin Bieber - Holy ft. Chance the Rapper (Lyric Video),2020-09-20T16:01:48Z,38963687,361023,0,9766
Justin Bieber - Holy ft. Chance the Rapper (Visualizer),2020-09-19T15:59:42Z,2281093,111051,0,6143
Justin Bieber & Chance the Rapper - Holy (Livestream),2020-09-18T04:03:58Z,1757443,130311,0,3812
Justin Bieber - Holy ft. Chance The Rapper,2020-09-18T04:00:10Z,218952931,4082861,0,208302
Justin Bieber - E.T.A. (Nature Visual),2020-05-29T16:00:18Z,18868794,524145,0,17178
"Ariana Grande, Justin Bieber - Stuck with U (Mother's Day Edition)",2020-05-11T17:00:17Z,23054817,436115,0,9569
Justin Bieber & Ariana Grande  - Stuck with U (Prom Scenes),2020-05-09T19:25:30Z,4254955,267342,0,8810
"Ariana Grande, Justin Bieber - Stuck with U (Lyric Video)",2020-05-08T04:00:10Z,171126672,1585446,0,29857
Justin Bieber - Available (Nature Visual),2020-04-17T16:00:37Z,11147956,264769,0,8505
Justin Bieber - Habitual (Nature Visual),2020-04-10T16:00:27Z,17810077,402654,0,13173
"Justin Bieber, Summer Walker - Yummy (Summer Walker Remix / CHANGES: The Movement)",2020-04-08T16:00:22Z,2900285,102038,0,2698
Justin Bieber - At Least For Now (CHANGES: The Movement),2020-04-06T16:00:22Z,4014992,127263,0,3941
Justin Bieber - Changes (Nature Visual),2020-04-03T04:00:04Z,13447376,362732,0,10443
Justin Bieber - That's What Love Is (CHANGES: The Movement),2020-04-01T16:00:29Z,6518383,233004,0,11482
Justin Bieber - Confirmation (CHANGES: The Movement),2020-03-30T16:00:03Z,7791944,190778,0,5819
Justin Bieber - Changes (CHANGES: The Movement),2020-03-25T16:00:40Z,1855167,89269,0,3250
