Title,Published_date,Views,Likes,Dislikes,Comments
Taylor Swift - Sad Beautiful Tragic (Taylor's Version) (Lyric Video),2021-11-12T05:00:14Z,3493263,89408,0,1904
Taylor Swift - Begin Again (Taylor's Version) (Lyric Video),2021-11-12T05:00:12Z,3982782,114058,0,2624
Taylor Swift - Everything Has Changed (Taylor's Version) (Lyric Video) ft. Ed Sheeran,2021-11-12T05:00:12Z,6409608,177549,0,3504
Taylor Swift - Forever Winter (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:10Z,3664833,100489,0,2550
Taylor Swift - Girl At Home (Taylor's Version) (Lyric Video),2021-11-12T05:00:10Z,2748336,82668,0,2550
I Bet You Think About Me (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:10Z,1189404,47947,0,1351
Taylor Swift - Holy Ground (Taylor's Version) (Lyric Video),2021-11-12T05:00:09Z,3141749,82041,0,2003
Taylor Swift - The Moment I Knew (Taylor's Version) (Lyric Video),2021-11-12T05:00:08Z,4313146,100851,0,2405
Taylor Swift - Better Man (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:08Z,12100650,200502,0,4361
Taylor Swift - 22 (Taylor's Version) (Lyric Video),2021-11-12T05:00:04Z,8199010,241788,0,7635
I Bet You Think About Me (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:04Z,6712228,109843,0,2724
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:04Z,25227957,379412,0,9691
Taylor Swift - State Of Grace (Acoustic Version) (Taylor's Version) (Lyric Video),2021-11-12T05:00:04Z,1672227,57960,0,1366
Taylor Swift - Babe (Taylor's Version) (From The Vault) (Lyric Video),2021-11-12T05:00:03Z,8210187,165016,0,4669
Taylor Swift - The Lucky One (Taylor's Version) (Lyric Video),2021-11-12T05:00:03Z,3450451,126992,0,4350
Taylor Swift - All Too Well (Taylor's Version) (Lyric Video),2021-11-12T05:00:03Z,11304164,244865,0,5252
Taylor Swift - State Of Grace (Taylor's Version) (Lyric Video),2021-11-12T05:00:01Z,7081037,187896,0,7046
All Too Well (The Short Film) | Official Trailer,2021-11-05T12:52:19Z,1684728,203297,0,13473
Taylor Swift - Wildest Dreams (Taylor’s Version) (Official Audio),2021-09-17T22:04:01Z,28022171,711211,0,21623
taylor swift - the lakes (original version) [audio],2021-07-24T13:00:32Z,3214949,201952,0,13567
Taylor Swift - The Best Day (Taylor's Version) (Official Music Video),2021-04-30T04:00:30Z,4476256,217291,0,7634
Taylor Swift - Bye Bye Baby (Taylor’s Version) (From The Vault) (Lyric Video),2021-04-09T04:00:32Z,3150016,112698,0,4519
Taylor Swift - We Were Happy (Taylor’s Version) (From The Vault),2021-04-09T04:00:31Z,2452124,100735,0,4133
Taylor Swift - Breathe (Taylor's Version) (Lyric Video) ft. Colbie Caillat,2021-04-09T04:00:30Z,7908533,145811,0,5065
Taylor Swift - Today Was A Fairytale (Taylor's Version) (Lyric Video),2021-04-09T04:00:30Z,3038550,105122,0,3606
Taylor Swift - Change (Taylor's Version) (Lyric Video),2021-04-09T04:00:28Z,2738116,80647,0,3022
Taylor Swift - Jump Then Fall (Taylor's Version) (Lyric Video),2021-04-09T04:00:27Z,3768198,93888,0,2683
Taylor Swift - Tell Me Why (Taylor's Version) (Lyric Video),2021-04-09T04:00:25Z,2968475,81679,0,2230
Taylor Swift - Hey Stephen (Taylor's Version) (Lyric Video),2021-04-09T04:00:23Z,6841634,149127,0,5219
Taylor Swift - Forever & Always (Piano Version) (Taylor's Version) (Lyric Video),2021-04-09T04:00:14Z,2329148,76842,0,2567
Taylor Swift - Fifteen (Taylor's Version) (Lyric Video),2021-04-09T04:00:12Z,6869549,204148,0,8816
Taylor Swift - You Belong With Me (Taylor's Version) (Lyric Video),2021-04-09T04:00:12Z,20905839,473039,0,14530
Taylor Swift - Don’t You (Taylor’s Version) (From The Vault) (Lyric Video),2021-04-09T04:00:09Z,2710564,90895,0,3497
Taylor Swift - Come In With The Rain (Taylor's Version) (Lyric Video),2021-04-09T04:00:08Z,1646685,60353,0,2589
Taylor Swift - Forever & Always (Taylor's Version) (Lyric Video),2021-04-09T04:00:06Z,4826599,116466,0,3162
Taylor Swift - Superstar (Taylor's Version) (Lyric Video),2021-04-09T04:00:05Z,1804598,63628,0,2857
Taylor Swift - The Best Day (Taylor's Version) (Lyric Video),2021-04-09T04:00:05Z,5131523,175836,0,7089
Taylor Swift - Fearless (Taylor's Version) (Lyric Video),2021-04-09T04:00:04Z,18784112,304841,0,11112
Taylor Swift - The Way I Loved You (Taylor's Version) (Lyric Video),2021-04-09T04:00:04Z,54683500,545149,0,7445
Taylor Swift - The Other Side Of The Door (Taylor’s Version) (Lyric Video),2021-04-09T04:00:03Z,3039013,78798,0,2416
Taylor Swift - You're Not Sorry (Taylor's Version) (Lyric Video),2021-04-09T04:00:03Z,7195183,154177,0,4715
Taylor Swift - Untouchable (Taylor's Version) (Lyric Video),2021-04-09T04:00:02Z,4892443,106920,0,4166
Taylor Swift - White Horse (Taylor's Version) (Lyric Video),2021-04-09T04:00:00Z,7763672,191204,0,7379
That’s When (Taylor’s Version) (From The Vault) (Lyric Video),2021-04-09T04:00:00Z,4078143,116860,0,4908
Taylor Swift - Mr. Perfectly Fine (Taylor’s Version) (From The Vault) (Lyric Video),2021-04-07T13:00:19Z,36416817,649194,0,37370
Taylor Swift ft. Maren Morris - You All Over Me (From The Vault) (Official Lyric Video),2021-03-26T04:00:06Z,8863725,350417,0,22295
Taylor Swift - Love Story (Elvira Remix) (Taylor’s Version) (Official Audio),2021-03-26T04:00:02Z,2600031,154446,0,8745
Taylor Swift - cardigan / august / willow (Live From The 63rd GRAMMYs ® / 2021),2021-03-15T23:44:03Z,9361871,564454,0,27791
Taylor Swift - Love Story (Taylor’s Version) [Official Lyric Video],2021-02-12T05:00:00Z,36806586,1402779,0,92439
Taylor Swift - right where you left me (Official Lyric Video),2021-01-07T05:00:05Z,19240589,362084,0,14817
Taylor Swift - it’s time to go (Official Lyric Video),2021-01-07T05:00:01Z,10111684,280664,0,10244
Taylor Swift - willow (moonlit witch version) - [yule log],2020-12-17T21:53:54Z,937818,34376,0,1430
Taylor Swift - willow (lonely witch version) - [yule log],2020-12-17T20:45:11Z,575805,23825,0,1034
Taylor Swift - willow (dancing witch version) - [yule log],2020-12-17T20:45:06Z,450842,26836,0,1541
Taylor Swift - willow - [yule log],2020-12-17T20:00:29Z,707623,47619,0,3369
Taylor Swift - willow (moonlit witch version),2020-12-16T01:02:30Z,1492498,88189,0,3192
Taylor Swift - willow (dancing witch version) - storyboards from the willow music video,2020-12-15T18:09:59Z,930962,67341,0,2702
Taylor Swift - willow (lonely witch version) - music video behind the scenes,2020-12-15T05:52:57Z,2213879,138243,0,4646
Taylor Swift - willow - dancing witch version (Elvira remix),2020-12-15T03:12:53Z,1665867,86987,0,4292
Taylor Swift - dorothea (Official Lyric Video),2020-12-11T05:00:33Z,9097387,230602,0,8771
Taylor Swift - champagne problems (Official Lyric Video),2020-12-11T05:00:30Z,41693917,538685,0,17391
Taylor Swift - tolerate it (Official Lyric Video),2020-12-11T05:00:26Z,11908508,226830,0,7841
Taylor Swift - cowboy like me (Official Lyric Video),2020-12-11T05:00:23Z,9352421,154569,0,6415
Taylor Swift - happiness (Official Lyric Video),2020-12-11T05:00:22Z,8745466,188081,0,6333
Taylor Swift - long story short (Official Lyric Video),2020-12-11T05:00:11Z,10047884,189300,0,4932
